player,season,award,first_place_votes,award_pts_won,award_pts_max
Karl-Anthony Towns,2018,mip,0.0,1.0,505
T.J. Warren,2018,mip,0.0,1.0,505
Giannis Antetokounmpo,2019,mvp,78.0,941.0,1010
James Harden,2019,mvp,23.0,776.0,1010
Paul George,2019,mvp,0.0,356.0,1010
Nikola Jokić,2019,mvp,0.0,212.0,1010
Stephen Curry,2019,mvp,0.0,175.0,1010
Damian Lillard,2019,mvp,0.0,69.0,1010
Joel Embiid,2019,mvp,0.0,49.0,1010
Kevin Durant,2019,mvp,0.0,25.0,1010
Kawhi Leonard,2019,mvp,0.0,13.0,1010
Russell Westbrook,2019,mvp,0.0,8.0,1010
Rudy Gobert,2019,mvp,0.0,1.0,1010
LeBron James,2019,mvp,0.0,1.0,1010
Luka Dončić,2019,roy,98.0,496.0,500
Trae Young,2019,roy,2.0,301.0,500
Deandre Ayton,2019,roy,0.0,66.0,500
Jaren Jackson,2019,roy,0.0,12.0,500
Collin Sexton,2019,roy,0.0,10.0,500
Shai Gilgeous-Alexander,2019,roy,0.0,7.0,500
Marvin Bagley,2019,roy,0.0,6.0,500
Josh Okogie,2019,roy,0.0,1.0,500
Mitchell Robinson,2019,roy,0.0,1.0,500
Rudy Gobert,2019,dpoy,65.0,411.0,500
Giannis Antetokounmpo,2019,dpoy,26.0,280.0,500
Paul George,2019,dpoy,6.0,150.0,500
Joel Embiid,2019,dpoy,1.0,26.0,500
Myles Turner,2019,dpoy,0.0,15.0,500
Draymond Green,2019,dpoy,1.0,6.0,500
Kawhi Leonard,2019,dpoy,1.0,6.0,500
Marcus Smart,2019,dpoy,0.0,4.0,500
Jarrett Allen,2019,dpoy,0.0,1.0,500
Patrick Beverley,2019,dpoy,0.0,1.0,500
Lou Williams,2019,smoy,96.0,489.0,500
Domantas Sabonis,2019,smoy,1.0,190.0,500
Montrezl Harrell,2019,smoy,2.0,142.0,500
Spencer Dinwiddie,2019,smoy,0.0,34.0,500
Terrence Ross,2019,smoy,0.0,12.0,500
Derrick Rose,2019,smoy,0.0,11.0,500
Dwyane Wade,2019,smoy,0.0,8.0,500
Dennis Schröder,2019,smoy,1.0,5.0,500
Monte Morris,2019,smoy,0.0,3.0,500
Andre Iguodala,2019,smoy,0.0,2.0,500
Malik Beasley,2019,smoy,0.0,1.0,500
Dāvis Bertāns,2019,smoy,0.0,1.0,500
Jae Crowder,2019,smoy,0.0,1.0,500
Ed Davis,2019,smoy,0.0,1.0,500
Pascal Siakam,2019,mip,86.0,469.0,500
D'Angelo Russell,2019,mip,12.0,255.0,500
De'Aaron Fox,2019,mip,1.0,77.0,500
Buddy Hield,2019,mip,0.0,22.0,500
Nikola Vučević,2019,mip,0.0,20.0,500
Domantas Sabonis,2019,mip,0.0,10.0,500
Montrezl Harrell,2019,mip,0.0,9.0,500
Derrick Rose,2019,mip,1.0,8.0,500
John Collins,2019,mip,0.0,6.0,500
Giannis Antetokounmpo,2019,mip,0.0,4.0,500
Malik Beasley,2019,mip,0.0,3.0,500
Danilo Gallinari,2019,mip,0.0,3.0,500
Paul George,2019,mip,0.0,3.0,500
Bojan Bogdanović,2019,mip,0.0,2.0,500
Thomas Bryant,2019,mip,0.0,2.0,500
Willie Cauley-Stein,2019,mip,0.0,1.0,500
Spencer Dinwiddie,2019,mip,0.0,1.0,500
Bryn Forbes,2019,mip,0.0,1.0,500
Jerami Grant,2019,mip,0.0,1.0,500
Zach LaVine,2019,mip,0.0,1.0,500
Josh Richardson,2019,mip,0.0,1.0,500
Derrick White,2019,mip,0.0,1.0,500
Giannis Antetokounmpo,2020,mvp,85.0,962.0,1010
LeBron James,2020,mvp,16.0,753.0,1010
James Harden,2020,mvp,0.0,367.0,1010
Luka Dončić,2020,mvp,0.0,200.0,1010
Kawhi Leonard,2020,mvp,0.0,168.0,1010
Anthony Davis,2020,mvp,0.0,82.0,1010
Chris Paul,2020,mvp,0.0,26.0,1010
Damian Lillard,2020,mvp,0.0,23.0,1010
Nikola Jokić,2020,mvp,0.0,18.0,1010
Pascal Siakam,2020,mvp,0.0,17.0,1010
Jimmy Butler,2020,mvp,0.0,9.0,1010
Jayson Tatum,2020,mvp,0.0,1.0,1010
Ja Morant,2020,roy,99.0,498.0,500
Kendrick Nunn,2020,roy,0.0,204.0,500
Zion Williamson,2020,roy,1.0,140.0,500
Brandon Clarke,2020,roy,0.0,50.0,500
Coby White,2020,roy,0.0,3.0,500
Terence Davis,2020,roy,0.0,2.0,500
Eric Paschall,2020,roy,0.0,2.0,500
RJ Barrett,2020,roy,0.0,1.0,500
Giannis Antetokounmpo,2020,dpoy,75.0,432.0,500
Anthony Davis,2020,dpoy,14.0,200.0,500
Rudy Gobert,2020,dpoy,6.0,187.0,500
Ben Simmons,2020,dpoy,1.0,32.0,500
Bam Adebayo,2020,dpoy,2.0,17.0,500
Patrick Beverley,2020,dpoy,1.0,7.0,500
Marcus Smart,2020,dpoy,0.0,7.0,500
Andre Drummond,2020,dpoy,1.0,5.0,500
Kawhi Leonard,2020,dpoy,0.0,5.0,500
Brook Lopez,2020,dpoy,0.0,4.0,500
Hassan Whiteside,2020,dpoy,0.0,3.0,500
Jarrett Allen,2020,dpoy,0.0,1.0,500
Montrezl Harrell,2020,smoy,58.0,397.0,500
Dennis Schröder,2020,smoy,35.0,328.0,500
Lou Williams,2020,smoy,7.0,127.0,500
George Hill,2020,smoy,0.0,17.0,500
Christian Wood,2020,smoy,0.0,17.0,500
Goran Dragić,2020,smoy,0.0,6.0,500
Derrick Rose,2020,smoy,0.0,5.0,500
Dāvis Bertāns,2020,smoy,0.0,2.0,500
Dwight Howard,2020,smoy,0.0,1.0,500
Brandon Ingram,2020,mip,42.0,326.0,500
Bam Adebayo,2020,mip,38.0,295.0,500
Luka Dončić,2020,mip,12.0,101.0,500
Jayson Tatum,2020,mip,3.0,57.0,500
Devonte' Graham,2020,mip,2.0,50.0,500
Shai Gilgeous-Alexander,2020,mip,0.0,21.0,500
Pascal Siakam,2020,mip,1.0,13.0,500
Christian Wood,2020,mip,1.0,11.0,500
Trae Young,2020,mip,0.0,10.0,500
Fred VanVleet,2020,mip,1.0,6.0,500
Dāvis Bertāns,2020,mip,0.0,3.0,500
Jaylen Brown,2020,mip,0.0,3.0,500
Markelle Fultz,2020,mip,0.0,2.0,500
Spencer Dinwiddie,2020,mip,0.0,1.0,500
Duncan Robinson,2020,mip,0.0,1.0,500
