,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
3915,Uroš Slokar,2007,23,TOR,C,20,0.0,72.0,14,26,0.5379999999999999,1.0,2.0,0.5,13,24,0.542,0.5579999999999999,9,13,0.6920000000000001,7.0,7.0,14.0,1,1.0,2.0,9.0,11,38,0.0,1.0,0.0,,0.0,0.0,640.0
3916,Tom Sluby,1985,22,DAL,SG,31,0.0,151.0,30,58,0.517,0.0,2.0,0.0,30,56,0.536,0.517,13,21,0.619,5.0,7.0,12.0,16,3.0,0.0,11.0,18,73,0.0,1.0,0.0,,0.0,0.0,78.0
3917,Alen Smailagić,2020,19,GSW,C,14,0.0,139.0,20,40,0.5,3.0,13.0,0.231,17,27,0.63,0.5379999999999999,16,19,0.8420000000000001,10.0,17.0,27.0,13,3.0,4.0,11.0,14,59,0.0,1.0,0.0,,0.0,0.0,500.0
3918,Keith Smart,1989,24,SAS,PG,2,0.0,12.0,0,2,0.0,0.0,1.0,0.0,0,1,0.0,0.0,2,2,1.0,0.0,1.0,1.0,2,0.0,0.0,2.0,0,2,0.0,1.0,0.0,,0.0,0.0,85.0
3919,Marcus Smart,2015,20,BOS,PG,67,38.0,1808.0,175,477,0.36700000000000005,91.0,272.0,0.335,84,205,0.41,0.462,82,127,0.6459999999999999,61.0,161.0,222.0,208,99.0,18.0,90.0,176,523,0.0,1.0,0.5671641791044776,roy,0.0,6.0,650.0
3941,Bingo Smith,1970,23,SDR,SF,75,N/A,1198.0,242,567,0.42700000000000005,N/A,N/A,N/A,242,567,0.42700000000000005,0.42700000000000005,66,96,0.688,N/A,N/A,328.0,75,N/A,N/A,N/A,119,550,0.0,1.0,N/A,,0.0,0.0,78.0
3954,Charles Smith,1989,23,LAC,PF,71,56.0,2161.0,435,878,0.495,0.0,3.0,0.0,435,875,0.49700000000000005,0.495,285,393,0.725,173.0,292.0,465.0,103,68.0,89.0,146.0,273,1155,0.0,1.0,0.7887323943661971,,0.0,0.0,85.0
3971,Chris Smith,1993,22,MIN,SG,80,6.0,1266.0,125,289,0.433,2.0,14.0,0.14300000000000002,123,275,0.447,0.436,95,120,0.792,32.0,64.0,96.0,196,48.0,16.0,68.0,96,347,0.0,1.0,0.075,,0.0,0.0,98.0
3975,Clinton Smith,1987,23,GSW,SG,41,0.0,341.0,50,117,0.42700000000000005,0.0,2.0,0.0,50,115,0.435,0.42700000000000005,27,36,0.75,26.0,30.0,56.0,45,13.0,1.0,26.0,36,127,0.0,1.0,0.0,,0.0,0.0,78.0
3977,Craig Smith,2007,23,MIN,PF,82,5.0,1537.0,246,463,0.531,0.0,6.0,0.0,246,457,0.5379999999999999,0.531,116,186,0.624,149.0,267.0,416.0,49,51.0,18.0,74.0,223,608,0.0,1.0,0.06097560975609756,roy,0.0,4.0,640.0
3983,Dennis Smith,2018,20,DAL,PG,69,69.0,2049.0,404,1024,0.395,106.0,339.0,0.313,298,685,0.435,0.446,134,193,0.6940000000000001,50.0,210.0,260.0,358,71.0,18.0,194.0,152,1048,1.0,1.0,1.0,roy,0.0,1.0,505.0
3987,Derek Smith,1983,21,GSW,SF,27,0.0,154.0,21,51,0.41200000000000003,0.0,2.0,0.0,21,49,0.429,0.41200000000000003,17,25,0.68,10.0,28.0,38.0,2,0.0,4.0,11.0,40,59,0.0,1.0,0.0,,0.0,0.0,74.0
3996,Don Smith,1975,23,PHI,SG,54,N/A,538.0,131,321,0.408,0.0,0.0,0.0,131,321,0.408,0.408,21,21,1.0,14.0,16.0,30.0,47,20.0,3.0,N/A,45,283,0.0,1.0,N/A,,0.0,0.0,18.0
3997,Donta Smith,2005,21,ATL,SG,38,0.0,433.0,44,113,0.389,6.0,22.0,0.273,38,91,0.418,0.41600000000000004,33,48,0.688,19.0,33.0,52.0,39,23.0,5.0,25.0,50,127,0.0,1.0,0.0,,0.0,0.0,630.0
3999,Doug Smith,1992,22,DAL,PF,76,32.0,1707.0,291,702,0.415,0.0,11.0,0.0,291,691,0.42100000000000004,0.415,89,121,0.736,129.0,262.0,391.0,129,62.0,34.0,97.0,259,671,0.0,1.0,0.42105263157894735,,0.0,0.0,96.0
4005,Elmore Smith,1972,22,BUF,C,78,N/A,3186.0,579,1275,0.45399999999999996,0.0,0.0,0.0,579,1275,0.45399999999999996,0.45399999999999996,194,363,0.534,N/A,N/A,1184.0,111,N/A,N/A,N/A,306,1352,0.0,1.0,N/A,roy,21.0,21.0,115.0
4013,Garfield Smith,1971,25,BOS,C,37,N/A,281.0,42,116,0.36200000000000004,N/A,N/A,N/A,42,116,0.36200000000000004,0.36200000000000004,22,56,0.39299999999999996,N/A,N/A,95.0,9,N/A,N/A,N/A,53,106,0.0,1.0,N/A,,0.0,0.0,98.0
4015,Greg Smith,1969,22,MIL,PF,79,N/A,2207.0,276,613,0.45,0.0,0.0,0.0,276,613,0.45,0.45,91,155,0.5870000000000001,N/A,N/A,804.0,137,N/A,N/A,N/A,264,643,0.0,1.0,N/A,,0.0,0.0,78.0
4028,Ish Smith,2011,22,HOU MEM ,PG,43,3.0,442.0,43,115,0.374,3.0,10.0,0.3,40,105,0.381,0.387,12,21,0.5710000000000001,7.0,40.0,47.0,79,18.0,2.0,34.0,37,101,0.0,1.0,0.06976744186046512,,0.0,0.0,590.0
4039,J.R. Smith,2005,19,NOH,SG,76,56.0,1859.0,295,748,0.39399999999999996,81.0,281.0,0.28800000000000003,214,467,0.45799999999999996,0.449,111,161,0.6890000000000001,39.0,113.0,152.0,142,55.0,11.0,109.0,135,782,0.0,1.0,0.7368421052631579,roy,0.0,1.0,630.0
4055,Jabari Smith,2001,23,SAC,C,9,0.0,66.0,11,22,0.5,0.0,0.0,N/A,11,22,0.5,0.5,4,6,0.667,1.0,7.0,8.0,6,4.0,0.0,3.0,7,26,0.0,1.0,0.0,,0.0,0.0,124.0
4060,Jason Smith,2008,21,PHI,PF,76,1.0,1107.0,141,310,0.455,4.0,14.0,0.28600000000000003,137,296,0.46299999999999997,0.461,54,82,0.659,77.0,153.0,230.0,20,22.0,50.0,48.0,142,340,0.0,1.0,0.013157894736842105,,0.0,0.0,625.0
4071,Jerry Smith,2012,24,NJN,PG,5,0.0,46.0,3,14,0.214,1.0,6.0,0.16699999999999998,2,8,0.25,0.25,0,0,0.0,2.0,5.0,7.0,4,5.0,0.0,0.0,5,7,0.0,1.0,0.0,,0.0,0.0,600.0
4072,Jim Smith,1982,23,SDC,PF,72,3.0,858.0,86,169,0.509,0.0,0.0,N/A,86,169,0.509,0.509,39,85,0.45899999999999996,72.0,110.0,182.0,46,22.0,51.0,47.0,185,211,0.0,1.0,0.041666666666666664,,0.0,0.0,69.0
4074,Joe Smith,1996,20,GSW,PF,82,82.0,2821.0,469,1024,0.45799999999999996,10.0,28.0,0.35700000000000004,459,996,0.461,0.46299999999999997,303,392,0.773,300.0,417.0,717.0,79,85.0,134.0,138.0,224,1251,0.0,1.0,1.0,roy,15.0,15.0,113.0
4090,Josh Smith,2005,19,ATL,SF,74,59.0,2050.0,274,602,0.455,4.0,23.0,0.174,270,579,0.466,0.45799999999999996,163,237,0.688,147.0,310.0,457.0,127,59.0,144.0,135.0,157,715,0.0,1.0,0.7972972972972973,,0.0,0.0,630.0
4103,Keith Smith,1987,22,MIL,SG,42,4.0,461.0,57,150,0.38,3.0,9.0,0.33299999999999996,54,141,0.38299999999999995,0.39,21,28,0.75,13.0,19.0,32.0,43,25.0,3.0,30.0,74,138,0.0,1.0,0.09523809523809523,,0.0,0.0,78.0
4104,Kenny Smith,1988,22,SAC,PG,61,60.0,2170.0,331,694,0.47700000000000004,12.0,39.0,0.308,319,655,0.48700000000000004,0.486,167,204,0.8190000000000001,40.0,98.0,138.0,434,92.0,8.0,184.0,140,841,0.0,1.0,0.9836065573770492,roy,1.0,1.0,80.0
4114,LaBradford Smith,1992,22,WSB,SG,48,5.0,708.0,100,246,0.40700000000000003,2.0,21.0,0.095,98,225,0.436,0.41100000000000003,45,56,0.804,30.0,51.0,81.0,99,44.0,1.0,63.0,98,247,0.0,1.0,0.10416666666666667,,0.0,0.0,96.0
4117,Larry Smith,1981,23,GSW,PF,82,N/A,2578.0,304,594,0.512,0.0,0.0,N/A,304,594,0.512,0.512,177,301,0.588,433.0,561.0,994.0,93,70.0,63.0,146.0,316,785,0.0,1.0,N/A,roy,14.0,14.0,69.0
4130,Leon Smith,2002,21,ATL,C,14,0.0,100.0,10,26,0.385,0.0,0.0,N/A,10,26,0.385,0.385,11,17,0.647,10.0,21.0,31.0,3,5.0,1.0,3.0,12,31,0.0,1.0,0.0,,0.0,0.0,126.0
4132,Michael Smith,1990,24,BOS,PF,65,7.0,620.0,136,286,0.47600000000000003,2.0,28.0,0.071,134,258,0.519,0.479,53,64,0.828,40.0,60.0,100.0,79,9.0,1.0,54.0,51,327,0.0,1.0,0.1076923076923077,,0.0,0.0,92.0
4142,Mike Smith,2001,24,WAS,SF,17,0.0,180.0,19,59,0.322,3.0,18.0,0.16699999999999998,16,41,0.39,0.34700000000000003,10,16,0.625,10.0,12.0,22.0,10,5.0,3.0,7.0,8,51,0.0,1.0,0.0,,0.0,0.0,124.0
4143,Nolan Smith,2012,23,POR,PG,44,4.0,541.0,67,180,0.37200000000000005,13.0,45.0,0.289,54,135,0.4,0.408,20,28,0.7140000000000001,17.0,39.0,56.0,62,18.0,3.0,42.0,55,167,0.0,1.0,0.09090909090909091,,0.0,0.0,600.0
4145,Otis Smith,1987,23,DEN,SG,28,0.0,168.0,33,79,0.418,0.0,2.0,0.0,33,77,0.429,0.418,12,21,0.5710000000000001,17.0,17.0,34.0,22,1.0,1.0,19.0,30,78,0.0,1.0,0.0,,0.0,0.0,78.0
4151,Phil Smith,1975,22,GSW,SG,74,N/A,1055.0,221,464,0.47600000000000003,N/A,N/A,N/A,221,464,0.47600000000000003,0.47600000000000003,127,158,0.804,51.0,89.0,140.0,135,62.0,0.0,N/A,141,569,0.0,1.0,N/A,,0.0,0.0,18.0
4160,Randy Smith,1972,23,BUF,SF,76,N/A,2094.0,432,896,0.48200000000000004,N/A,N/A,N/A,432,896,0.48200000000000004,0.48200000000000004,158,254,0.622,N/A,N/A,368.0,189,N/A,N/A,N/A,202,1022,0.0,1.0,N/A,,0.0,0.0,115.0
4172,Reggie Smith,1993,22,POR,C,23,0.0,68.0,10,27,0.37,0.0,1.0,0.0,10,26,0.385,0.37,3,14,0.214,15.0,6.0,21.0,1,4.0,1.0,4.0,16,23,0.0,1.0,0.0,,0.0,0.0,98.0
4174,Robert Smith,1978,22,DEN,PG,45,N/A,378.0,50,97,0.515,N/A,N/A,N/A,50,97,0.515,0.515,21,24,0.875,6.0,30.0,36.0,39,18.0,3.0,20.0,52,121,0.0,1.0,N/A,,0.0,0.0,66.0
4181,Russ Smith,2015,23,NOP MEM ,PG,12,0.0,65.0,8,25,0.32,2.0,11.0,0.182,6,14,0.429,0.36,12,13,0.9229999999999999,1.0,5.0,6.0,8,3.0,0.0,12.0,13,30,0.0,1.0,0.0,,0.0,0.0,650.0
4183,Sam Smith,1979,24,MIL,SF,16,N/A,125.0,19,47,0.40399999999999997,N/A,N/A,N/A,19,47,0.40399999999999997,0.40399999999999997,18,24,0.75,0.0,9.0,9.0,16,8.0,7.0,8.0,12,56,0.0,1.0,N/A,,0.0,0.0,66.0
4185,Steve Smith,1992,22,MIA,SG,61,59.0,1806.0,297,654,0.45399999999999996,40.0,125.0,0.32,257,529,0.486,0.485,95,127,0.748,81.0,107.0,188.0,278,59.0,19.0,152.0,162,729,0.0,1.0,0.9672131147540983,,0.0,0.0,96.0
4199,Steven Smith,2007,23,PHI,PF,8,0.0,28.0,2,8,0.25,0.0,0.0,N/A,2,8,0.25,0.25,1,2,0.5,1.0,5.0,6.0,0,1.0,0.0,2.0,4,5,0.0,1.0,0.0,,0.0,0.0,640.0
4200,Stevin Smith,1997,25,DAL,SG,8,0.0,60.0,6,18,0.33299999999999996,1.0,6.0,0.16699999999999998,5,12,0.41700000000000004,0.361,1,1,1.0,2.0,8.0,10.0,4,1.0,0.0,4.0,9,14,0.0,1.0,0.0,,0.0,0.0,115.0
4201,Theron Smith,2004,23,MEM,SF,20,0.0,178.0,16,43,0.37200000000000005,6.0,12.0,0.5,10,31,0.32299999999999995,0.442,6,8,0.75,13.0,28.0,41.0,7,5.0,5.0,14.0,18,44,0.0,1.0,0.0,,0.0,0.0,590.0
4203,Tony Smith,1991,22,LAL,SG,64,1.0,695.0,97,220,0.441,0.0,7.0,0.0,97,213,0.455,0.441,40,57,0.7020000000000001,24.0,47.0,71.0,135,28.0,12.0,69.0,80,234,0.0,1.0,0.015625,,0.0,0.0,96.0
4212,William Smith,1972,22,POR,C,22,N/A,448.0,72,173,0.41600000000000004,0.0,0.0,0.0,72,173,0.41600000000000004,0.41600000000000004,38,64,0.594,N/A,N/A,135.0,19,N/A,N/A,N/A,73,182,0.0,1.0,N/A,,0.0,0.0,115.0
4214,Willie Smith,1977,23,CHI,PG,2,N/A,11.0,0,1,0.0,N/A,N/A,N/A,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,N/A,1,0,0.0,1.0,N/A,,0.0,0.0,66.0
4218,Zhaire Smith,2019,19,PHI,SG,6,2.0,111.0,14,34,0.41200000000000003,6.0,16.0,0.375,8,18,0.444,0.5,6,8,0.75,3.0,10.0,13.0,10,2.0,2.0,6.0,8,40,0.0,1.0,0.3333333333333333,,0.0,0.0,500.0
4220,Rik Smits,1989,22,IND,C,82,71.0,2041.0,386,746,0.517,0.0,1.0,0.0,386,745,0.518,0.517,184,255,0.722,185.0,315.0,500.0,70,37.0,151.0,130.0,310,956,0.0,1.0,0.8658536585365854,,0.0,0.0,85.0
4232,Mike Smrek,1986,23,CHI,C,38,5.0,408.0,46,122,0.377,0.0,2.0,0.0,46,120,0.38299999999999995,0.377,16,29,0.552,46.0,64.0,110.0,19,6.0,23.0,29.0,95,108,0.0,1.0,0.13157894736842105,,0.0,0.0,78.0
4240,Tony Snell,2014,22,CHI,SG,77,12.0,1231.0,129,336,0.384,57.0,178.0,0.32,72,158,0.456,0.469,31,41,0.7559999999999999,19.0,105.0,124.0,68,29.0,15.0,44.0,84,346,0.0,1.0,0.15584415584415584,,0.0,0.0,620.0
4248,Eric Snow,1996,22,SEA,PG,43,1.0,389.0,42,100,0.42,2.0,10.0,0.2,40,90,0.444,0.43,29,49,0.5920000000000001,9.0,34.0,43.0,73,28.0,0.0,38.0,53,115,0.0,1.0,0.023255813953488372,,0.0,0.0,113.0
4261,Dick Snyder,1967,22,STL,SG,55,N/A,676.0,144,333,0.43200000000000005,0.0,0.0,0.0,144,333,0.43200000000000005,0.43200000000000005,46,61,0.754,N/A,N/A,91.0,59,N/A,N/A,N/A,82,334,0.0,1.0,N/A,,0.0,0.0,90.0
4274,Kirk Snyder,2005,21,UTA,SG,68,7.0,906.0,122,328,0.37200000000000005,30.0,85.0,0.353,92,243,0.379,0.418,64,96,0.667,50.0,71.0,121.0,36,26.0,19.0,58.0,116,338,0.0,1.0,0.10294117647058823,,0.0,0.0,630.0
4279,Ricky Sobers,1976,23,PHO,SG,78,N/A,1898.0,280,623,0.449,N/A,N/A,N/A,280,623,0.449,0.449,158,192,0.823,80.0,179.0,259.0,215,106.0,7.0,N/A,253,718,0.0,1.0,N/A,,0.0,0.0,18.0
4294,Mike Sojourner,1975,21,ATL,C,73,N/A,2129.0,378,775,0.488,0.0,0.0,0.0,378,775,0.488,0.488,95,146,0.6509999999999999,196.0,446.0,642.0,93,35.0,57.0,N/A,217,851,0.0,1.0,N/A,roy,0.3,0.3,18.0
4297,Will Solomon,2002,23,MEM,SG,62,4.0,872.0,113,331,0.341,46.0,162.0,0.284,67,169,0.396,0.41100000000000003,49,73,0.6709999999999999,12.0,56.0,68.0,92,35.0,7.0,62.0,76,321,0.0,1.0,0.06451612903225806,,0.0,0.0,126.0
4299,Willie Somerset,1966,23,BAL,PG,8,N/A,98.0,18,43,0.419,N/A,N/A,N/A,18,43,0.419,0.419,9,11,0.818,N/A,N/A,15.0,9,N/A,N/A,N/A,21,45,0.0,1.0,N/A,,0.0,0.0,86.0
4300,Darius Songaila,2004,25,SAC,PF,73,7.0,976.0,133,273,0.48700000000000004,0.0,0.0,N/A,133,273,0.48700000000000004,0.48700000000000004,71,88,0.807,91.0,134.0,225.0,48,42.0,12.0,43.0,126,337,0.0,1.0,0.0958904109589041,,0.0,0.0,590.0
4308,Dave Sorenson,1971,22,CLE,PF,79,N/A,1940.0,353,794,0.445,0.0,0.0,0.0,353,794,0.445,0.445,184,229,0.8029999999999999,N/A,N/A,486.0,163,N/A,N/A,N/A,181,890,0.0,1.0,N/A,,0.0,0.0,98.0
4311,James Southerland,2014,23,CHA NOP ,SF,4,0.0,30.0,5,15,0.33299999999999996,3.0,6.0,0.5,2,9,0.222,0.433,1,2,0.5,0.0,8.0,8.0,0,1.0,2.0,1.0,3,14,0.0,1.0,0.0,,0.0,0.0,620.0
4312,Pape Sow,2005,23,TOR,C,27,4.0,255.0,23,58,0.397,0.0,0.0,N/A,23,58,0.397,0.397,16,27,0.593,18.0,39.0,57.0,2,12.0,4.0,10.0,46,62,0.0,1.0,0.14814814814814814,,0.0,0.0,630.0
4315,Ray Spalding,2019,21,DAL PHO ,PF,14,3.0,148.0,25,47,0.532,0.0,3.0,0.0,25,44,0.568,0.532,4,12,0.33299999999999996,15.0,33.0,48.0,5,9.0,8.0,9.0,23,54,0.0,1.0,0.21428571428571427,,0.0,0.0,500.0
4316,Jim Spanarkel,1980,22,PHI,SG,40,N/A,442.0,72,153,0.47100000000000003,0.0,2.0,0.0,72,151,0.47700000000000004,0.47100000000000003,54,65,0.831,27.0,27.0,54.0,51,12.0,6.0,57.0,58,198,0.0,1.0,N/A,,0.0,0.0,66.0
4321,Vassilis Spanoulis,2007,24,HOU,SG,31,0.0,272.0,23,72,0.319,5.0,29.0,0.172,18,43,0.419,0.354,34,42,0.81,5.0,17.0,22.0,28,7.0,1.0,29.0,33,85,0.0,1.0,0.0,,0.0,0.0,640.0
4325,Rory Sparrow,1981,22,NJN,PG,15,N/A,212.0,22,63,0.349,0.0,0.0,N/A,22,63,0.349,0.349,12,16,0.75,7.0,11.0,18.0,32,13.0,3.0,18.0,15,56,0.0,1.0,N/A,,0.0,0.0,69.0
4345,Marreese Speights,2009,21,PHI,C,79,2.0,1263.0,252,502,0.502,2.0,8.0,0.25,250,494,0.506,0.504,102,132,0.773,123.0,170.0,293.0,30,27.0,56.0,46.0,181,608,0.0,1.0,0.02531645569620253,,0.0,0.0,600.0
4355,Omari Spellman,2019,21,ATL,PF,46,11.0,805.0,98,244,0.402,44.0,128.0,0.344,54,116,0.466,0.49200000000000005,32,45,0.711,72.0,122.0,194.0,47,26.0,25.0,31.0,67,272,0.0,1.0,0.2391304347826087,,0.0,0.0,500.0
4357,Andre Spencer,1993,28,ATL GSW ,SF,20,1.0,422.0,73,163,0.44799999999999995,0.0,2.0,0.0,73,161,0.45299999999999996,0.44799999999999995,41,54,0.759,38.0,43.0,81.0,24,17.0,7.0,26.0,64,187,0.0,1.0,0.05,,0.0,0.0,98.0
4359,Elmore Spencer,1993,23,LAC,C,44,4.0,280.0,44,82,0.537,0.0,0.0,N/A,44,82,0.537,0.537,16,32,0.5,17.0,45.0,62.0,8,8.0,18.0,26.0,54,104,0.0,1.0,0.09090909090909091,,0.0,0.0,98.0
4364,Felton Spencer,1991,23,MIN,C,81,46.0,2099.0,195,381,0.512,0.0,1.0,0.0,195,380,0.513,0.512,182,252,0.722,272.0,369.0,641.0,25,48.0,121.0,77.0,337,572,0.0,1.0,0.5679012345679012,,0.0,0.0,96.0
4376,Craig Spitzer,1968,22,CHI,C,10,N/A,44.0,8,21,0.381,0.0,0.0,0.0,8,21,0.381,0.381,2,3,0.667,N/A,N/A,24.0,0,N/A,N/A,N/A,4,18,0.0,1.0,N/A,,0.0,0.0,79.0
4377,Tiago Splitter,2011,26,SAS,C,60,6.0,738.0,101,191,0.529,0.0,1.0,0.0,101,190,0.532,0.529,76,140,0.5429999999999999,72.0,129.0,201.0,26,29.0,17.0,32.0,91,278,0.0,1.0,0.1,,0.0,0.0,590.0
4388,Latrell Sprewell,1993,22,GSW,SG,77,69.0,2741.0,449,968,0.46399999999999997,73.0,198.0,0.369,376,770,0.488,0.502,211,283,0.746,79.0,192.0,271.0,295,126.0,52.0,203.0,166,1182,0.0,1.0,0.8961038961038961,,0.0,0.0,98.0
4401,Larry Spriggs,1982,22,HOU,SF,4,0.0,37.0,7,11,0.636,0.0,0.0,N/A,7,11,0.636,0.636,0,2,0.0,2.0,4.0,6.0,4,2.0,0.0,4.0,7,14,0.0,1.0,0.0,,0.0,0.0,69.0
4406,Ryan Stack,1999,23,CLE,PF,18,0.0,199.0,14,37,0.37799999999999995,0.0,0.0,N/A,14,37,0.37799999999999995,0.37799999999999995,19,20,0.95,19.0,15.0,34.0,5,2.0,11.0,9.0,31,47,0.0,1.0,0.0,,0.0,0.0,118.0
4408,Jerry Stackhouse,1996,21,PHI,SG,72,71.0,2701.0,452,1091,0.414,93.0,292.0,0.318,359,799,0.449,0.457,387,518,0.747,90.0,175.0,265.0,278,76.0,79.0,252.0,179,1384,0.0,1.0,0.9861111111111112,roy,2.0,2.0,113.0
4426,Kevin Stacom,1975,23,BOS,SG,61,N/A,447.0,72,159,0.45299999999999996,N/A,N/A,N/A,72,159,0.45299999999999996,0.45299999999999996,29,33,0.879,30.0,25.0,55.0,49,11.0,3.0,N/A,65,173,0.0,1.0,N/A,,0.0,0.0,18.0
4432,Bud Stallworth,1973,23,SEA,SF,77,N/A,1225.0,198,522,0.379,0.0,0.0,0.0,198,522,0.379,0.379,86,114,0.754,N/A,N/A,225.0,58,N/A,N/A,N/A,138,482,0.0,1.0,N/A,roy,0.1,0.1,17.0
4437,Dave Stallworth,1966,24,NYK,SF,80,N/A,1893.0,373,820,0.455,0.0,0.0,0.0,373,820,0.455,0.455,258,376,0.6859999999999999,N/A,N/A,492.0,186,N/A,N/A,N/A,237,1004,0.0,1.0,N/A,,0.0,0.0,86.0
4448,Terence Stansbury,1985,23,IND,SG,74,14.0,1278.0,210,458,0.45899999999999996,4.0,25.0,0.16,206,433,0.47600000000000003,0.46299999999999997,102,126,0.81,39.0,75.0,114.0,127,47.0,12.0,80.0,205,526,0.0,1.0,0.1891891891891892,,0.0,0.0,78.0
4451,John Starks,1989,23,GSW,SG,36,0.0,316.0,51,125,0.408,10.0,26.0,0.385,41,99,0.414,0.44799999999999995,34,52,0.654,15.0,26.0,41.0,27,23.0,3.0,39.0,36,146,0.0,1.0,0.0,,0.0,0.0,85.0
4464,Keith Starr,1977,22,CHI,SG,17,N/A,65.0,6,24,0.25,0.0,0.0,0.0,6,24,0.25,0.25,2,2,1.0,6.0,4.0,10.0,6,1.0,0.0,N/A,11,14,0.0,1.0,N/A,,0.0,0.0,66.0
4465,Nik Stauskas,2015,21,SAC,SG,73,1.0,1127.0,108,296,0.365,48.0,149.0,0.322,60,147,0.408,0.446,55,64,0.8590000000000001,11.0,77.0,88.0,67,20.0,17.0,40.0,92,319,0.0,1.0,0.0136986301369863,,0.0,0.0,650.0
4475,Larry Steele,1972,22,POR,SG,72,N/A,1311.0,148,308,0.48100000000000004,N/A,N/A,N/A,148,308,0.48100000000000004,0.48100000000000004,70,97,0.722,N/A,N/A,282.0,161,N/A,N/A,N/A,198,366,0.0,1.0,N/A,,0.0,0.0,115.0
4484,Matt Steigenga,1997,26,CHI,SF,2,0.0,12.0,1,4,0.25,0.0,2.0,0.0,1,2,0.5,0.25,1,2,0.5,0.0,3.0,3.0,2,1.0,1.0,2.0,1,3,0.0,1.0,0.0,,0.0,0.0,115.0
4485,Vladimir Stepania,1999,22,SEA,C,23,6.0,313.0,53,125,0.424,0.0,3.0,0.0,53,122,0.434,0.424,21,40,0.525,27.0,48.0,75.0,12,10.0,23.0,32.0,58,127,0.0,1.0,0.2608695652173913,,0.0,0.0,118.0
4491,D.J. Stephens,2014,23,MIL,SG,3,0.0,15.0,3,7,0.429,0.0,0.0,N/A,3,7,0.429,0.429,1,1,1.0,1.0,4.0,5.0,0,0.0,0.0,0.0,0,7,0.0,1.0,0.0,,0.0,0.0,620.0
4493,Everette Stephens,1989,22,IND,PG,35,0.0,209.0,23,72,0.319,2.0,10.0,0.2,21,62,0.33899999999999997,0.33299999999999996,17,22,0.773,11.0,12.0,23.0,37,9.0,4.0,29.0,22,65,0.0,1.0,0.0,,0.0,0.0,85.0
4496,Joe Stephens,1997,24,HOU,PF,2,0.0,9.0,1,5,0.2,1.0,3.0,0.33299999999999996,0,2,0.0,0.3,0,0,0.0,2.0,1.0,3.0,0,3.0,0.0,3.0,3,3,0.0,1.0,0.0,,0.0,0.0,115.0
4499,Lance Stephenson,2011,20,IND,SG,12,0.0,115.0,13,39,0.33299999999999996,0.0,5.0,0.0,13,34,0.382,0.33299999999999996,11,14,0.7859999999999999,1.0,17.0,18.0,21,4.0,0.0,16.0,14,37,0.0,1.0,0.0,,0.0,0.0,590.0
4508,Alex Stepheson,2016,28,LAC MEM ,PF,8,0.0,73.0,9,27,0.33299999999999996,0.0,0.0,N/A,9,27,0.33299999999999996,0.33299999999999996,4,12,0.33299999999999996,19.0,9.0,28.0,2,1.0,5.0,0.0,12,22,0.0,1.0,0.0,,0.0,0.0,650.0
4509,Brook Steppe,1983,23,KCK,SG,62,6.0,606.0,84,176,0.47700000000000004,1.0,7.0,0.14300000000000002,83,169,0.491,0.48,76,100,0.76,25.0,48.0,73.0,68,26.0,3.0,55.0,92,245,0.0,1.0,0.0967741935483871,,0.0,0.0,74.0
4514,Barry Stevens,1993,30,GSW,SF,2,0.0,6.0,1,2,0.5,0.0,0.0,N/A,1,2,0.5,0.5,0,0,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,1,2,0.0,1.0,0.0,,0.0,0.0,98.0
4517,DeShawn Stevenson,2001,19,UTA,SG,40,2.0,293.0,31,91,0.341,1.0,12.0,0.083,30,79,0.38,0.34600000000000003,26,38,0.684,9.0,19.0,28.0,18,10.0,2.0,28.0,29,89,0.0,1.0,0.05,,0.0,0.0,124.0
4530,Dennis Stewart,1971,23,BAL,N/A,2,N/A,6.0,1,4,0.25,N/A,N/A,N/A,1,4,0.25,0.25,2,2,1.0,N/A,N/A,3.0,1,N/A,N/A,N/A,0,4,0.0,1.0,N/A,,0.0,0.0,98.0
4532,Kebu Stewart,1998,24,PHI,PF,15,0.0,110.0,12,26,0.462,0.0,0.0,N/A,12,26,0.462,0.462,16,25,0.64,9.0,22.0,31.0,2,5.0,2.0,8.0,13,40,0.0,1.0,0.0,,0.0,0.0,116.0
4533,Larry Stewart,1992,23,WSB,PF,76,43.0,2229.0,303,590,0.514,0.0,3.0,0.0,303,587,0.516,0.514,188,233,0.807,186.0,263.0,449.0,120,51.0,44.0,112.0,225,794,0.0,1.0,0.5657894736842105,,0.0,0.0,96.0
4538,Michael Stewart,1998,22,SAC,C,81,37.0,1761.0,155,323,0.48,0.0,0.0,N/A,155,323,0.48,0.48,65,142,0.45799999999999996,197.0,339.0,536.0,61,29.0,195.0,85.0,251,375,0.0,1.0,0.4567901234567901,,0.0,0.0,116.0
4547,Greg Stiemsma,2012,26,BOS,C,55,3.0,766.0,66,121,0.545,0.0,0.0,N/A,66,121,0.545,0.545,29,41,0.7070000000000001,48.0,129.0,177.0,28,37.0,85.0,33.0,144,161,0.0,1.0,0.05454545454545454,,0.0,0.0,600.0
