,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
4634,Salim Stoudamire,2006,23,ATL,SG,61,1.0,1236.0,204,492,0.415,82.0,216.0,0.38,122,276,0.442,0.498,99,110,0.9,12.0,104.0,116.0,75,27.0,3.0,82.0,118,589,0.0,1.0,0.01639344262295082,,0.0,0.0,625.0
4637,Amar'e Stoudemire,2003,20,PHO,PF,82,71.0,2570.0,392,830,0.47200000000000003,2.0,10.0,0.2,390,820,0.47600000000000003,0.473,320,484,0.6609999999999999,250.0,471.0,721.0,78,62.0,87.0,189.0,269,1106,0.0,1.0,0.8658536585365854,roy,59.0,458.0,585.0
4651,Paul Stovall,1973,24,PHO,SF,25,N/A,211.0,26,76,0.342,N/A,N/A,N/A,26,76,0.342,0.342,24,38,0.632,N/A,N/A,61.0,13,N/A,N/A,N/A,37,76,0.0,1.0,N/A,,0.0,0.0,17.0
4652,D.J. Strawberry,2008,22,PHO,SG,33,0.0,270.0,29,92,0.315,6.0,25.0,0.24,23,67,0.34299999999999997,0.348,9,19,0.474,9.0,19.0,28.0,30,12.0,6.0,11.0,36,73,0.0,1.0,0.0,,0.0,0.0,625.0
4653,Joe Strawder,1966,25,DET,C,79,N/A,2180.0,250,613,0.408,0.0,0.0,0.0,250,613,0.408,0.408,176,256,0.688,N/A,N/A,820.0,78,N/A,N/A,N/A,305,676,0.0,1.0,N/A,,0.0,0.0,86.0
4656,Bill Stricker,1971,23,POR,N/A,1,N/A,2.0,2,3,0.667,0.0,0.0,0.0,2,3,0.667,0.667,0,0,0.0,N/A,N/A,0.0,0,N/A,N/A,N/A,1,4,0.0,1.0,N/A,,0.0,0.0,98.0
4657,Erick Strickland,1997,23,DAL,SG,28,15.0,759.0,102,256,0.39799999999999996,28.0,92.0,0.304,74,164,0.451,0.45299999999999996,65,80,0.813,21.0,69.0,90.0,68,27.0,5.0,66.0,75,297,0.0,1.0,0.5357142857142857,,0.0,0.0,115.0
4666,Mark Strickland,1995,24,IND,PF,4,0.0,9.0,1,3,0.33299999999999996,0.0,0.0,N/A,1,3,0.33299999999999996,0.33299999999999996,1,2,0.5,2.0,2.0,4.0,0,0.0,1.0,1.0,0,3,0.0,1.0,0.0,,0.0,0.0,105.0
4674,Rod Strickland,1989,22,NYK,PG,81,10.0,1358.0,265,567,0.467,19.0,59.0,0.322,246,508,0.484,0.484,172,231,0.745,51.0,109.0,160.0,319,98.0,3.0,148.0,142,721,0.0,1.0,0.12345679012345678,,0.0,0.0,85.0
4691,Roger Strickland,1964,23,BAL,N/A,1,N/A,4.0,1,3,0.33299999999999996,0.0,0.0,0.0,1,3,0.33299999999999996,0.33299999999999996,0,0,0.0,N/A,N/A,0.0,0,N/A,N/A,N/A,1,2,0.0,1.0,N/A,,0.0,0.0,83.0
4692,John Stroeder,1988,29,MIL,PF,41,0.0,271.0,29,79,0.36700000000000005,0.0,2.0,0.0,29,77,0.377,0.36700000000000005,20,30,0.667,24.0,47.0,71.0,20,3.0,12.0,24.0,48,78,0.0,1.0,0.0,,0.0,0.0,80.0
4694,Derek Strong,1992,23,WSB,PF,1,0.0,12.0,0,4,0.0,0.0,0.0,N/A,0,4,0.0,0.0,3,4,0.75,1.0,4.0,5.0,1,0.0,0.0,1.0,1,3,0.0,1.0,0.0,,0.0,0.0,96.0
4704,Lamont Strothers,1992,23,POR,SG,4,0.0,17.0,4,12,0.33299999999999996,0.0,2.0,0.0,4,10,0.4,0.33299999999999996,2,4,0.5,1.0,0.0,1.0,1,1.0,1.0,2.0,2,10,0.0,1.0,0.0,,0.0,0.0,96.0
